,Distance_Center,Nationality_Spain,Nationality_Italy,POI_Restaurants_Hotels,Nationality_UK,Percentage_Age_65_Plus,Percentage_Age_0_14,Intercept
0,-0.3814527644784669,-0.2055874248526257,0.16722468038133537,0.14119734415253127,0.07815352137167476,-0.052264535231703345,-0.0671257669436321,4.825638817887807e-17
1,-0.3824782704077335,-0.1866402463153773,0.1756445101772067,0.15522783306479543,0.08287247086895796,-0.04969057177913858,-0.05357598251470831,-2.1200998580269363e-16
2,-0.41562847279868365,-0.1511497603291785,0.1473867517816543,0.1654516401262141,0.07908998943357387,-0.09251974680173666,-0.061302803575054854,4.8779404816024384e-17
3,-0.3601153026737629,-0.2129251600683411,0.15727478007169407,0.15120352783414298,0.08796576167683981,-0.06635430009836363,-0.07028484531704735,2.3712652286679877e-17
4,-0.4142668871030354,-0.1997368219069219,0.14076121152098342,0.14048818872538088,0.079754523491261,-0.06712445491717556,-0.055177591821094316,2.1430126958985977e-16
5,-0.41860310405701695,-0.18110965937086354,0.16705160822758738,0.1307090349380039,0.07574637943917156,-0.05807232512283805,-0.06242353602331829,2.2122224923805918e-17
6,-0.390646930014368,-0.21816478006556334,0.1565878774034784,0.14432964146228822,0.09001130840152531,-0.038041091693927005,-0.03794770839228602,4.517746182788553e-17
7,-0.3803771182128821,-0.18552643908081873,0.1617794120717446,0.17358011819820818,0.06239179954445205,-0.07931435060068795,-0.05840521289456756,-2.601538986382548e-17
8,-0.3709824386427386,-0.19386622143361465,0.15353024092286274,0.14823555431956292,0.09167413691218403,-0.07427681250413473,-0.08606540869112644,-4.003902485766658e-16
9,-0.3948772279162064,-0.17386123658013836,0.150588834034263,0.1583643334280499,0.08459479779277014,-0.07990891294729006,-0.06306975149237933,-3.0757257809421886e-16
10,-0.3973848548293066,-0.20022460007797602,0.1420783152775643,0.13827171250883558,0.09730673158994968,-0.07157774022648182,-0.05768729705696135,6.371284725294577e-16
11,-0.3875976417918322,-0.1636463846173969,0.17930266230254174,0.16265656288451996,0.06175893072176514,-0.07980974444352075,-0.06573820088706667,1.4215817950179855e-16
12,-0.3923588231884102,-0.21001485051195545,0.1634205214088095,0.15660221478286035,0.06632642289704707,-0.050756788150759034,-0.05285676684513538,-2.5360521532509334e-16
13,-0.40176025268717075,-0.1997823073267419,0.15016523201392493,0.14603376901960652,0.07106189294163016,-0.06637636831964833,-0.05612586318762654,-4.329328791631162e-16
14,-0.3772950239624349,-0.17982730214638887,0.15567757346006175,0.15204419270865038,0.10834662677664265,-0.060438972815739,-0.07233847251075753,-9.763154053332491e-17
15,-0.3770152054686186,-0.1788365889317099,0.17786597215454794,0.15342767718051464,0.07657674600889233,-0.06959504253432941,-0.07645406703639798,1.0708472842340304e-16
16,-0.3952023442577495,-0.18779326973649893,0.14048050335782875,0.16236559123411265,0.08362267276816995,-0.07967714434096719,-0.0719430650400817,1.98279339277179e-16
17,-0.4101093355603254,-0.21295074939799444,0.14859552133954132,0.14342609055492955,0.07758647867102957,-0.050466391728912735,-0.04473801443249131,2.524842307509616e-16
18,-0.3900983182372971,-0.18222751625993827,0.15429758456416495,0.15680446536988102,0.09038394145898086,-0.06437430216043719,-0.04814257534597062,1.4822065583120903e-16
19,-0.3810188539007751,-0.19241949514504303,0.17035444589936793,0.13893038092653742,0.07887229794600688,-0.0638201903288801,-0.06414964881124673,1.9315204243244355e-16
20,-0.3953735429698872,-0.19647958138017926,0.14432514369932256,0.13324447677466028,0.10168377474310174,-0.06793521886847648,-0.06894925985106032,2.2425324707105e-16
21,-0.3562469725962241,-0.18196129815525558,0.19614845173575102,0.15997816883295984,0.06980468088574036,-0.06967164801125961,-0.05596633301576984,2.897978048582706e-16
22,-0.4309817115068364,-0.20796990921966482,0.13623055405523626,0.13830349543808818,0.057207415997903216,-0.07186423835630149,-0.05613524427310666,3.742345305093856e-16
23,-0.3736789605504093,-0.18419626556956403,0.16299428353452372,0.1563303510337407,0.0955913960474131,-0.05657361276565251,-0.06627734773893491,-2.474513294873869e-16
24,-0.3952286242113472,-0.18319184782677966,0.1559594979418205,0.16733413098645983,0.08130859365191745,-0.05987635352734023,-0.06037710639276392,2.0115105940433408e-17
