Barrio,< 25 años,25-29 años,30-34 años,35-39 años,40-44 años,45-49 años,50-54 años,55-59 años,60-64 años,65-69 años,70-74 años,75-79 años,80-84 años,85-89 años,90-94 años,95-99 años,100 años  y más
1,194,489,665,674,536,454,422,351,324,349,350,302,371,271,160,34,2  
2,117,257,325,291,221,170,181,166,179,147,129,95,105,103,80,11,9  
3,91,237,343,299,247,176,141,147,151,154,147,145,205,153,75,20,2  
4,118,348,527,511,421,312,273,243,209,236,207,172,217,175,93,13,8  
5,64,217,320,373,255,230,259,254,294,311,306,296,344,312,133,43,3  
6,112,396,541,552,472,417,478,474,497,518,543,488,667,589,339,61,9  
7,156,376,527,530,495,409,404,407,473,494,480,398,457,418,226,80,12  
8,143,430,609,541,412,411,421,449,438,495,473,393,488,436,266,76,16  
9,114,454,628,615,589,464,498,478,603,688,668,575,672,593,350,74,17  
10,72,227,457,539,410,372,368,328,350,379,453,411,491,467,260,65,8  
11,55,284,477,573,487,399,378,341,324,318,352,328,461,338,189,32,6  
12,2,7,10,10,14,15,13,10,18,13,12,8,10,14,6,1,0  
13,25,102,162,214,238,229,229,225,253,223,257,271,347,262,92,21,2  
14,16,63,100,119,104,97,101,80,106,104,123,98,120,89,54,8,2  
15,32,124,217,175,180,157,141,164,141,149,149,128,147,120,62,19,3  
16,21,103,160,153,153,119,142,150,175,222,160,163,192,164,62,12,1  
17,56,170,244,234,223,180,200,204,196,221,228,205,270,241,105,19,4  
18,89,321,489,497,452,341,378,377,376,368,423,347,493,473,214,40,7  
19,95,290,416,413,355,290,364,364,427,500,560,464,529,456,237,41,6  
20,50,140,185,179,154,157,142,147,193,275,282,215,240,231,124,23,5  
21,23,49,60,53,53,59,49,56,74,115,102,91,112,104,66,11,0  
22,5,16,25,20,27,31,42,41,40,32,28,26,17,8,7,2,0  
23,36,113,145,187,178,165,152,188,197,193,211,178,214,188,119,25,6  
24,28,52,70,71,68,69,97,104,89,113,130,121,137,106,56,21,4  
25,62,121,158,163,190,148,155,156,195,224,248,195,229,215,130,36,8  
26,109,253,390,377,343,330,372,385,384,454,532,458,532,516,311,81,18  
27,59,228,339,326,335,246,283,250,297,375,349,276,290,265,156,37,8  
28,26,90,136,164,146,145,158,115,131,173,190,153,160,146,64,16,5  
29,15,45,56,84,90,66,83,82,64,70,78,80,64,50,23,3,0  
30,30,98,115,132,114,85,85,90,117,161,158,144,152,115,72,20,1  
31,172,623,1.011,949,770,558,552,524,496,513,511,451,582,539,306,68,12  
32,66,235,371,434,333,315,272,310,374,362,381,397,407,363,194,50,5  
33,24,166,232,244,251,192,205,234,250,263,287,253,370,293,124,23,0  
34,10,53,81,96,97,85,94,79,69,75,97,91,123,79,48,12,1  
35,68,231,315,324,350,348,329,332,321,364,369,362,453,408,185,44,3  
36,7,26,54,57,74,69,58,60,75,88,85,85,64,61,33,4,0  
37,45,153,188,232,294,243,225,202,264,268,305,323,357,265,113,19,0  
38,22,39,89,100,107,114,94,94,84,86,123,109,112,92,44,10,0  
39,9,25,49,43,52,50,71,40,50,68,64,94,92,92,28,6,1  
40,5,26,25,28,44,49,54,43,29,27,47,71,124,96,36,7,0  
41,2,13,27,30,44,31,38,47,45,58,78,75,76,62,18,2,0  
42,3,5,9,18,8,7,4,8,2,4,1,6,6,2,4,0,0  
43,21,98,154,190,215,231,202,215,181,251,275,308,339,235,106,24,2  
44,30,75,151,174,214,172,190,213,182,246,274,278,372,290,129,38,3  
45,26,84,139,232,238,190,175,183,185,228,260,292,382,280,131,19,4  
46,26,41,71,96,106,115,120,142,120,115,111,144,302,325,126,8,0  
47,1,14,16,25,24,21,22,17,24,17,19,28,41,15,11,0,0  
48,14,41,49,84,81,99,93,85,100,145,182,172,246,183,83,10,1  
49,4,16,25,36,32,34,28,48,70,86,97,73,75,53,20,1,0  
50,22,54,98,124,124,111,99,100,113,105,140,109,156,116,40,10,1  
51,20,46,72,125,129,115,110,90,106,133,132,152,158,129,58,14,0  
52,35,88,131,171,193,202,167,180,188,224,310,349,378,257,107,17,2  
53,14,34,38,58,59,53,67,59,72,67,66,51,89,108,38,7,0  
54,3,12,10,16,14,15,17,19,21,19,13,10,12,8,9,0,0  
55,8,23,25,37,67,67,65,62,54,66,94,92,98,53,17,5,0  
56,4,2,8,18,19,11,10,12,14,8,6,6,11,1,0,0,0  
57,16,41,41,82,78,71,64,60,54,72,57,63,65,49,19,7,0  
58,4,5,17,20,27,29,13,25,21,25,20,22,16,24,11,0,0  
59,17,34,68,70,89,77,80,73,73,83,86,86,126,72,22,8,0  
60,68,231,428,534,527,478,403,438,442,556,566,452,598,459,242,54,4  
61,30,113,193,246,230,198,193,213,281,295,269,255,320,244,116,18,4  
62,16,58,115,111,122,121,106,119,122,128,147,119,220,250,117,16,3  
63,21,80,151,155,165,137,147,146,188,224,270,205,295,246,106,22,1  
64,60,266,436,394,414,290,306,316,358,465,417,364,414,438,213,53,3  
65,42,124,204,235,214,195,215,205,211,238,250,185,249,218,115,18,1  
66,36,85,149,212,199,138,129,109,137,162,137,95,137,113,51,8,2  
67,15,24,61,67,84,82,92,86,79,78,50,44,40,27,9,2,0  
68,50,157,355,428,458,353,313,234,210,223,251,219,320,292,140,37,2  
69,17,68,155,220,247,155,118,100,90,92,77,79,71,45,21,7,2  
70,32,74,107,132,134,143,177,145,188,162,163,191,287,232,91,14,2  
71,20,83,168,216,182,166,136,157,154,161,126,158,178,122,70,6,1  
72,21,81,161,171,208,170,168,185,203,236,292,267,377,321,120,26,2  
73,31,69,136,132,175,179,162,174,215,230,329,296,367,277,117,23,3  
