Barrio,Ocupación media
1,2.81  
2,2.48  
3,2.19  
4,2.26  
5,2.50  
6,2.36  
7,2.39  
8,2.33  
9,2.37  
10,2.34  
11,2.52  
12,2.57  
13,2.58  
14,2.43  
15,2.41  
16,2.46  
17,2.42  
18,2.40  
19,2.42  
20,2.46  
21,2.86  
22,2.97  
23,2.82  
24,2.98  
25,2.77  
26,2.56  
27,2.42  
28,2.42  
29,2.40  
30,2.45  
31,2.24  
32,2.31  
33,2.38  
34,2.37  
35,2.38  
36,2.54  
37,2.48  
38,2.44  
39,2.43  
40,2.42  
41,2.46  
42,2.31  
43,2.53  
44,2.44  
45,2.46  
46,2.51  
47,2.42  
48,2.46  
49,2.45  
50,2.65  
51,2.44  
52,2.47  
53,2.54  
54,3.04  
55,2.87  
56,2.89  
57,2.87  
58,2.62  
59,2.82  
60,2.43  
61,2.47  
62,2.39  
63,2.46  
64,2.35  
65,2.51  
66,2.47  
67,2.67  
68,2.49  
69,2.50  
70,2.76  
71,2.53  
72,2.47  
73,2.51  
